./accounts/forms.py:5:1: E302 expected 2 blank lines, found 1
./accounts/forms.py:16:1: E302 expected 2 blank lines, found 1
./accounts/forms.py:33:10: W292 no newline at end of file
./accounts/migrations/0001_initial.py:21:80: E501 line too long (117 > 79 characters)
./accounts/migrations/0001_initial.py:22:80: E501 line too long (88 > 79 characters)
./accounts/migrations/0001_initial.py:23:80: E501 line too long (103 > 79 characters)
./accounts/migrations/0001_initial.py:24:80: E501 line too long (196 > 79 characters)
./accounts/migrations/0001_initial.py:25:80: E501 line too long (329 > 79 characters)
./accounts/migrations/0001_initial.py:26:80: E501 line too long (104 > 79 characters)
./accounts/migrations/0001_initial.py:27:80: E501 line too long (102 > 79 characters)
./accounts/migrations/0001_initial.py:28:80: E501 line too long (103 > 79 characters)
./accounts/migrations/0001_initial.py:29:80: E501 line too long (165 > 79 characters)
./accounts/migrations/0001_initial.py:30:80: E501 line too long (203 > 79 characters)
./accounts/migrations/0001_initial.py:31:80: E501 line too long (117 > 79 characters)
./accounts/migrations/0001_initial.py:32:80: E501 line too long (266 > 79 characters)
./accounts/migrations/0001_initial.py:33:80: E501 line too long (229 > 79 characters)
./accounts/migrations/0003_alter_customuser_registration_accepted.py:16:80: E501 line too long (129 > 79 characters)
./accounts/models.py:17:80: E501 line too long (83 > 79 characters)
./accounts/models.py:22:80: E501 line too long (86 > 79 characters)
./accounts/models.py:126:80: E501 line too long (90 > 79 characters)
./accounts/models.py:129:80: E501 line too long (91 > 79 characters)
./accounts/models.py:132:80: E501 line too long (80 > 79 characters)
./accounts/models.py:133:80: E501 line too long (83 > 79 characters)
./accounts/tests/test_admin.py:19:80: E501 line too long (80 > 79 characters)
./accounts/tests/test_admin.py:72:80: E501 line too long (80 > 79 characters)
./accounts/tests/test_admin.py:86:80: E501 line too long (82 > 79 characters)
./accounts/tests/test_admin.py:95:80: E501 line too long (120 > 79 characters)
./accounts/tests/test_models.py:2:1: F401 'django.db.models' imported but unused
./accounts/tests/test_models.py:137:80: E501 line too long (93 > 79 characters)
./accounts/tests/test_models.py:185:80: E501 line too long (85 > 79 characters)
./accounts/tests/test_models.py:202:80: E501 line too long (88 > 79 characters)
./accounts/tests/test_views.py:5:1: F401 'accounts.forms.CustomUserChangeForm' imported but unused
./accounts/tests/test_views.py:71:80: E501 line too long (83 > 79 characters)
./accounts/tests/test_views.py:75:80: E501 line too long (81 > 79 characters)
./accounts/tests/test_views.py:118:80: E501 line too long (81 > 79 characters)
./accounts/tests/test_views.py:120:80: E501 line too long (81 > 79 characters)
./accounts/tests/test_views.py:149:80: E501 line too long (84 > 79 characters)
./accounts/tests/test_views.py:268:52: W291 trailing whitespace
./accounts/views.py:89:80: E501 line too long (152 > 79 characters)
./accounts/views.py:117:80: E501 line too long (87 > 79 characters)
./app_tracker/admin.py:17:80: E501 line too long (110 > 79 characters)
./app_tracker/admin.py:60:80: E501 line too long (102 > 79 characters)
./app_tracker/admin.py:63:80: E501 line too long (108 > 79 characters)
./app_tracker/admin.py:73:80: E501 line too long (112 > 79 characters)
./app_tracker/admin.py:107:80: E501 line too long (96 > 79 characters)
./app_tracker/admin.py:154:80: E501 line too long (88 > 79 characters)
./app_tracker/admin.py:157:80: E501 line too long (94 > 79 characters)
./app_tracker/admin.py:168:80: E501 line too long (87 > 79 characters)
./app_tracker/admin.py:171:80: E501 line too long (93 > 79 characters)
./app_tracker/admin.py:316:80: E501 line too long (91 > 79 characters)
./app_tracker/admin.py:317:80: E501 line too long (92 > 79 characters)
./app_tracker/admin.py:318:80: E501 line too long (105 > 79 characters)
./app_tracker/admin.py:319:80: E501 line too long (86 > 79 characters)
./app_tracker/admin.py:325:80: E501 line too long (93 > 79 characters)
./app_tracker/admin.py:370:80: E501 line too long (100 > 79 characters)
./app_tracker/migrations/0001_initial.py:18:80: E501 line too long (117 > 79 characters)
./app_tracker/migrations/0001_initial.py:19:80: E501 line too long (149 > 79 characters)
./app_tracker/migrations/0001_initial.py:20:80: E501 line too long (150 > 79 characters)
./app_tracker/migrations/0001_initial.py:21:80: E501 line too long (114 > 79 characters)
./app_tracker/migrations/0001_initial.py:22:80: E501 line too long (97 > 79 characters)
./app_tracker/migrations/0001_initial.py:23:80: E501 line too long (106 > 79 characters)
./app_tracker/migrations/0001_initial.py:24:80: E501 line too long (126 > 79 characters)
./app_tracker/migrations/0001_initial.py:25:80: E501 line too long (124 > 79 characters)
./app_tracker/migrations/0001_initial.py:26:80: E501 line too long (134 > 79 characters)
./app_tracker/migrations/0001_initial.py:27:80: E501 line too long (132 > 79 characters)
./app_tracker/migrations/0001_initial.py:36:80: E501 line too long (117 > 79 characters)
./app_tracker/migrations/0001_initial.py:37:80: E501 line too long (149 > 79 characters)
./app_tracker/migrations/0001_initial.py:38:80: E501 line too long (150 > 79 characters)
./app_tracker/migrations/0001_initial.py:48:80: E501 line too long (117 > 79 characters)
./app_tracker/migrations/0001_initial.py:49:80: E501 line too long (149 > 79 characters)
./app_tracker/migrations/0001_initial.py:50:80: E501 line too long (150 > 79 characters)
./app_tracker/migrations/0001_initial.py:53:80: E501 line too long (148 > 79 characters)
./app_tracker/migrations/0001_initial.py:62:80: E501 line too long (117 > 79 characters)
./app_tracker/migrations/0001_initial.py:63:80: E501 line too long (149 > 79 characters)
./app_tracker/migrations/0001_initial.py:64:80: E501 line too long (150 > 79 characters)
./app_tracker/migrations/0001_initial.py:67:80: E501 line too long (209 > 79 characters)
./app_tracker/migrations/0001_initial.py:68:80: E501 line too long (156 > 79 characters)
./app_tracker/migrations/0001_initial.py:77:80: E501 line too long (112 > 79 characters)
./app_tracker/migrations/0002_alter_application_language_framework_systems_and_more.py:16:80: E501 line too long (189 > 79 characters)
./app_tracker/migrations/0002_alter_application_language_framework_systems_and_more.py:21:80: E501 line too long (189 > 79 characters)
./app_tracker/migrations/0002_alter_application_language_framework_systems_and_more.py:26:80: E501 line too long (85 > 79 characters)
./app_tracker/migrations/0002_alter_application_language_framework_systems_and_more.py:31:80: E501 line too long (107 > 79 characters)
./app_tracker/migrations/0002_alter_application_language_framework_systems_and_more.py:41:80: E501 line too long (87 > 79 characters)
./app_tracker/migrations/0003_alter_application_has_custom_user.py:9:80: E501 line too long (86 > 79 characters)
./app_tracker/migrations/0003_alter_application_has_custom_user.py:16:80: E501 line too long (122 > 79 characters)
./app_tracker/migrations/0004_alter_application_has_prod_deployment_and_more.py:16:80: E501 line too long (126 > 79 characters)
./app_tracker/migrations/0004_alter_application_has_prod_deployment_and_more.py:21:80: E501 line too long (118 > 79 characters)
./app_tracker/migrations/0005_alter_application_repository_url_and_more.py:16:80: E501 line too long (111 > 79 characters)
./app_tracker/migrations/0005_alter_application_repository_url_and_more.py:21:80: E501 line too long (212 > 79 characters)
./app_tracker/migrations/0006_alter_note_application.py:17:80: E501 line too long (156 > 79 characters)
./app_tracker/migrations/0007_application_has_email_sending_and_more.py:16:80: E501 line too long (160 > 79 characters)
./app_tracker/migrations/0007_application_has_email_sending_and_more.py:21:80: E501 line too long (230 > 79 characters)
./app_tracker/migrations/0008_application_repository_is_public_and_more.py:16:80: E501 line too long (121 > 79 characters)
./app_tracker/migrations/0008_application_repository_is_public_and_more.py:21:80: E501 line too long (129 > 79 characters)
./app_tracker/migrations/0009_application_production_url.py:16:80: E501 line too long (122 > 79 characters)
./app_tracker/migrations/0010_application_project_board_url.py:16:80: E501 line too long (114 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:17:80: E501 line too long (175 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:22:80: E501 line too long (135 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:27:80: E501 line too long (154 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:32:80: E501 line too long (163 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:37:80: E501 line too long (168 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:42:80: E501 line too long (152 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:47:80: E501 line too long (232 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:52:80: E501 line too long (127 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:57:80: E501 line too long (153 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:62:80: E501 line too long (148 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:67:80: E501 line too long (158 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:72:80: E501 line too long (142 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:77:80: E501 line too long (260 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:82:80: E501 line too long (169 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:87:80: E501 line too long (113 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:92:80: E501 line too long (222 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:97:80: E501 line too long (128 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:102:80: E501 line too long (169 > 79 characters)
./app_tracker/migrations/0011_application_is_template_repository_and_more.py:107:80: E501 line too long (219 > 79 characters)
./app_tracker/migrations/0012_application_settings_in_dot_env_file.py:16:80: E501 line too long (181 > 79 characters)
./app_tracker/migrations/0013_application_settings_in_dot_yml_file.py:16:80: E501 line too long (166 > 79 characters)
./app_tracker/migrations/0014_application_is_favorite.py:16:80: E501 line too long (140 > 79 characters)
./app_tracker/migrations/0015_application_settings_in_environment.py:16:80: E501 line too long (172 > 79 characters)
./app_tracker/migrations/0016_application_reference_repository_url.py:16:80: E501 line too long (162 > 79 characters)
./app_tracker/migrations/0017_project_application_project.py:18:80: E501 line too long (117 > 79 characters)
./app_tracker/migrations/0017_project_application_project.py:19:80: E501 line too long (149 > 79 characters)
./app_tracker/migrations/0017_project_application_project.py:20:80: E501 line too long (150 > 79 characters)
./app_tracker/migrations/0017_project_application_project.py:21:80: E501 line too long (131 > 79 characters)
./app_tracker/migrations/0017_project_application_project.py:22:80: E501 line too long (146 > 79 characters)
./app_tracker/migrations/0017_project_application_project.py:23:80: E501 line too long (168 > 79 characters)
./app_tracker/migrations/0017_project_application_project.py:32:80: E501 line too long (189 > 79 characters)
./app_tracker/migrations/0018_alter_project_owner.py:18:80: E501 line too long (162 > 79 characters)
./app_tracker/migrations/0019_application_is_official_repository.py:16:80: E501 line too long (210 > 79 characters)
